dates,oldSurv,newSurv
2009-03-08,0.33839527,0.33149245
2009-03-22,0.28234303,0.27385768
2009-04-05,0.34236705,0.34477434
2009-04-19,0.5572512,0.5545525
2009-05-03,0.33676445,0.33209938
2009-05-17,0.36259675,0.35848984
2009-05-31,0.2359683,0.23540393
2009-06-14,0.37828553,0.38490042
2009-06-28,0.40117154,0.40812844
2009-07-12,0.39522892,0.39910284
2009-07-26,0.40873465,0.41147473
2009-08-09,0.36109772,0.35901016
2009-08-23,0.34110087,0.3404341
2009-09-06,0.28153023,0.28050187
2009-09-20,0.35062745,0.35027602
2009-10-04,0.4220822,0.42269683
2009-10-18,0.3350488,0.34036517
2009-11-01,0.36390254,0.36293083
2009-11-15,0.30563432,0.30184925
2009-11-29,0.41454065,0.42968857
2009-12-13,0.3681849,0.36771768
2009-12-27,0.4101684,0.41388038
2010-01-10,0.6230752,0.6205897
2010-01-24,0.5743353,0.57913435
2010-02-07,0.41938922,0.41300312
2010-02-21,0.46032083,0.46619222
2010-03-07,0.32565743,0.32627058
2010-03-21,0.40324524,0.404142
2010-04-04,0.45859763,0.456586
2010-04-18,0.49086782,0.4915111
2010-05-02,0.3355938,0.33527717
2010-05-16,0.44870028,0.45152986
2010-05-30,0.46997696,0.4690204
2010-06-13,0.29326212,0.2918041
2010-06-27,0.33709595,0.3364953
2010-07-11,0.37022227,0.37260497
2010-07-25,0.3520578,0.35194334
2010-08-08,0.3036698,0.307207
2010-08-22,0.4027578,0.40277657
2010-09-05,0.40921557,0.40894553
2010-09-19,0.35856462,0.36035952
2010-10-03,0.3634053,0.36142287
2010-10-17,0.31465095,0.3105856
2010-10-31,0.25622782,0.25495806
2010-11-14,0.3709065,0.37186444
2010-11-28,0.5181812,0.51505995
2010-12-12,0.571097,0.57241315
2010-12-26,0.5006074,0.5005332
2011-01-09,0.31876448,0.31438762
2011-01-23,0.29456773,0.2936573
2011-02-06,0.43197724,0.43358305
2011-02-20,0.45916066,0.4581678
2011-03-06,0.66021234,0.6627942
2011-03-20,0.65306234,0.6564981
2011-04-03,0.6182239,0.61792046
2011-04-17,0.5165872,0.51319456
2011-05-01,0.5280785,0.53598315
2011-05-15,0.5274402,0.5264576
2011-05-29,0.5634237,0.56063193
2011-06-12,0.57666564,0.578749
2011-06-26,0.44181532,0.44572532
2011-07-10,0.3294026,0.33013323
2011-07-24,0.26887906,0.272809
2011-08-07,0.38273472,0.38287264
2011-08-21,0.37414998,0.37792566
2011-09-04,0.42178962,0.4196497
2011-09-18,0.50950575,0.5130044
2011-10-02,0.4518058,0.45005795
2011-10-16,0.24756947,0.24535118
2011-10-30,0.31137303,0.31274933
2011-11-13,0.46266067,0.46138868
2011-11-27,0.48714378,0.48938528
2011-12-11,0.30704018,0.30353847
2011-12-25,0.3232947,0.32209957
2012-01-08,0.54470855,0.5431732
2012-01-22,0.45093104,0.45506266
2012-02-05,0.32900605,0.3249841
2012-02-19,0.3162675,0.32022727
2012-03-04,0.51429063,0.5153074
2012-03-18,0.5036925,0.49940643
2012-04-01,0.5865477,0.5815771
2012-04-15,0.5653308,0.56631714
2012-04-29,0.26084828,0.2590308
2012-05-13,0.24863882,0.24972847
2012-05-27,0.3265916,0.3266918
2012-06-10,0.37714013,0.37920588
2012-06-24,0.33911115,0.33255076
2012-07-08,0.45513755,0.45097688
2012-07-22,0.45499304,0.4475387
2012-08-05,0.35948184,0.35797182
2012-08-19,0.47293,0.4744915
2012-09-02,0.33299306,0.33139753
2012-09-16,0.42318228,0.42963365
2012-09-30,0.36716816,0.3727125
2012-10-14,0.31712174,0.31660396
2012-10-28,0.2964454,0.29375654
2012-11-11,0.43436718,0.43696153
2012-11-25,0.6242407,0.6229106
2012-12-09,0.6286054,0.62986064
2012-12-23,0.5440304,0.5428867
2013-01-06,0.4367546,0.43059438
2013-01-20,0.42166477,0.4217642
2013-02-03,0.43859902,0.43757743
2013-02-17,0.3473584,0.34947386
2013-03-03,0.3549378,0.34697676
2013-03-17,0.3773091,0.37251127
2013-03-31,0.27974874,0.2762682
2013-04-14,0.31650794,0.3167428
2013-04-28,0.33574125,0.34291673
2013-05-12,0.2738759,0.2772485
2013-05-26,0.23634249,0.23672652
2013-06-09,0.31464034,0.31943005
2013-06-23,0.3161303,0.31000584
2013-07-07,0.30404022,0.30194163
2013-07-21,0.36692703,0.36555734
2013-08-04,0.40474588,0.40960178
2013-08-18,0.3953205,0.39146873
