NODE_LIST
ID	X	Y
254	36.5291	37.0116
255	36.4117	35.8577
256	36.2378	34.7739
257	35.8435	33.8348
258	35.0045	33.3554
259	36.47	39.1053
260	35.6218	38.7608
261	35.8507	37.9453
262	35.3489	37.0524
263	33.8457	35.8951
264	33.2526	34.7878
265	33.4187	33.7388
266	32.9029	33.2264
267	35.7275	50.3646
268	35.4321	49.2556
269	34.5706	48.1752
270	33.21	46.0885
271	32.4587	44.5873
272	32.0215	42.9977
273	32.9013	42.325
274	32.3764	40.7369
275	32.2532	38.7504
276	30.681	36.6102
277	29.9107	43.2386
278	30.0197	41.8223
279	32.9934	60.3092
280	32.9177	55.7303
281	31.9697	52.6375
282	30.7349	49.6074
283	30.0339	46.9256
284	29.3194	42.4046
285	28.5234	39.1545
286	28.8296	43.0638
287	27.5072	41.0612
288	27.7143	40.0112
289	28.0174	39.5566
290	23.2191	41.2652
291	24.6201	41.0437
292	25.7616	40.793
293	15.1511	28.5481
294	9.6676	28.0637
295	36.9081	61.6962
296	36.3719	59.1056
297	34.4886	57.7297
298	36.4075	55.8856
299	37.807	53.6701
300	36.1778	52.8462
301	37.1413	50.4068
302	36.3968	47.8896
303	33.7365	45.7234
304	33.8051	44.2526
305	36.0176	41.9564
306	37.2681	40.2894
307	36.8985	39.8718
308	34.6449	39.6592
309	34.6075	37.1346
310	33.5498	36.3635
311	31.9749	34.4534
312	30.2098	35.1823
313	28.933	35.3365
314	27.5771	33.1554
315	26.8636	30.6498
316	25.0497	29.1485
317	21.7762	27.1752
318	19.8985	27.7942
319	16.8725	26.4396
320	13.2898	27.2141
321	8.4296	27.1749
322	6.1673	26.9164
323	3.6401	25.8778
324	11.0344	27.1052
325	8.9802	30.1987
326	7.1904	32.2582
327	7.1122	30.9338
328	7.7366	28.7244
329	5.1254	28.6239
330	3.157	38.5281
331	8.5756	38.8398
332	8.27	38.1202
333	8.1777	36.8127
334	7.5419	36.1486
335	6.7694	35.3304
336	7.0401	34.4023
337	5.716	32.7822
338	6.2932	31.7899
339	3.6784	37.8309
340	4.0709	36.6356
341	4.1175	34.9822
342	4.643	34.4096
343	4.8059	30.9167
344	4.686	29.5071
345	6.341	35.9493
346	4.7992	36.6576
347	5.6972	36.1396
348	4.5928	35.1463
349	9.2599	39.1175
350	8.9596	36.7215
351	9.9093	36.2814
352	7.2455	37.7523
353	10.0881	39.2002
354	14.8314	35.8648
355	14.9307	37.2186
356	15.3953	36.1427
357	17.3328	28.4843
358	16.7687	29.7589
359	15.3778	33.2254
360	13.9859	35.1089
361	12.641	35.3541
362	10.9653	36.1922
363	7.5207	34.1096
364	15.6306	29.2856
365	15.0958	29.8879
366	12.8	30.1173
367	5.5299	31.2628
368	4.735	31.9157
369	5.4046	33.9353
370	4.9711	31.4437
371	6.3581	34.2453
372	40.0723	41.8179
373	37.3237	44.4444
374	37.5843	43.2658
375	38.0291	41.9619
376	48.4168	20.2144
377	22.4935	26.2756
378	22.4883	25.6644
379	24.0054	25.0562
380	20.0296	26.2737
381	18.7018	25.306
382	19.0162	27.6284
383	18.1311	27.1802
384	18.6086	26.6855
385	22.6828	25.1043
386	27.4271	26.5914
387	21.5436	26.2865
388	20.481	26.0729
389	51.7002	0.18
390	41.8109	19.186
391	42.4471	8.0441
392	46.2542	7.4354
393	46.4013	8.7189
394	43.1228	11.1743
395	33.2286	9.7562
396	30.6346	21.814
397	32.3703	12.5926
398	20.5818	42.7653
399	41.7776	37.3056
400	41.4234	35.296
401	41.9522	33.6141
402	36.4228	51.8015
403	36.0045	61.6452
404	28.8067	46.3924
405	27.5073	45.7068
406	25.8085	43.1807
407	10.5817	34.5405
408	37.4417	64.0587
409	2.5486	25.2163
410	8.113	40.1492
411	2.6973	38.9482
412	5.7511	34.742
413	6.5651	36.7435
414	7.3977	39.313
415	6.4911	37.5871
416	7.3415	37.3012
417	4.4177	38.2711
418	8.7651	37.7063
419	14.3452	38.3536
420	10.9121	39.0779
421	15.8106	38.9726
422	15.6781	35.334
423	13.0798	36.2329
424	10.9559	30.8398
425	42.0313	41.1446
426	42.0133	40.493
427	41.2367	42.64
428	37.943	45.4213
429	37.5919	41.2739
430	49.548	20.2812
500	2.00	21.00
501	43.00	59.00
502	2.00	20.00
503	2.00	59.00
504	18.20	53.60
505	28.80	10.00
506	16.00	10.00
507	18.00	59.00
511	45.50	64.10
512	45.00	3.00
513	14.00	25.50
515	5.00	24.00
516	23.50	35.00
517	29.00	20.00
518	30.50	11.50
519	33.00	8.00
550	29.50	45.50
551	29.50	35.50
552	7.50	63.50
553	25.20	68.10
555	18.00	9.00
556	2.00	9.00
END NODE_LIST
CHANNEL_LIST
ID	UP	DOWN	LENGTH
1	2	1	10.0
2	3	2	10.0
3	4	3	10.0
4	5	4	10.0
5	6	5	10.0
6	7	6	10.0
7	8	7	10.0
8	9	8	10.0
9	10	9	10.0
10	11	10	10.0
11	12	11	10.0
12	13	12	10.0
13	14	13	10.0
14	15	14	10.0
15	16	15	10.0
16	17	16	10.0
17	1	389	10.0
18	18	17	10.0
19	19	18	10.0
20	20	19	10.0
21	21	20	10.0
22	22	21	10.0
23	23	22	10.0
24	24	23	10.0
25	25	24	10.0
26	26	25	10.0
27	25	27	10.0
28	28	26	10.0
29	27	28	10.0
30	28	25	10.0
31	29	28	10.0
32	30	29	10.0
33	31	30	10.0
34	31	29	10.0
35	32	30	10.0
36	32	31	10.0
37	33	32	10.0
38	34	33	10.0
39	35	34	10.0
40	36	35	10.0
41	36	34	10.0
42	37	36	10.0
43	38	37	10.0
44	39	38	10.0
45	40	39	10.0
46	41	40	10.0
47	42	41	10.0
48	43	42	10.0
49	44	386	10.0
50	379	44	10.0
51	45	379	10.0
52	46	45	10.0
53	382	46	10.0
54	47	8	10.0
55	48	47	10.0
56	49	48	10.0
57	50	49	10.0
58	51	50	10.0
59	52	51	10.0
60	53	52	10.0
61	54	53	10.0
62	55	54	10.0
63	56	55	10.0
64	55	159	10.0
65	56	159	10.0
66	57	56	10.0
67	58	57	10.0
68	58	56	10.0
69	59	58	10.0
70	60	59	10.0
71	61	60	10.0
72	62	61	10.0
73	63	62	10.0
74	64	63	10.0
75	65	64	10.0
76	66	65	10.0
77	67	66	10.0
78	68	67	10.0
79	69	68	10.0
80	70	69	10.0
81	71	70	10.0
82	386	43	10.0
83	73	72	10.0
84	74	73	10.0
85	76	74	10.0
86	77	76	10.0
87	78	77	10.0
88	79	78	10.0
