NODE_LIST
ID	X	Y
87	625180.000000	4201812.000000
88	626084.000000	4202288.000000
89	625440.000000	4202805.000000
90	624973.000000	4203792.000000
91	624559.000000	4204808.000000
92	624846.000000	4206634.000000
93	625745.000000	4207081.000000
94	624726.000000	4207669.000000
95	626670.000000	4208624.000000
96	625027.000000	4211581.000000
97	623986.000000	4209901.000000
98	624341.000000	4213596.000000
99	642076.000000	4188033.000000
100	642585.000000	4190190.000000
101	642855.000000	4191521.000000
102	642200.000000	4193330.000000
103	641030.000000	4194433.000000
104	639304.000000	4194625.000000
105	637803.000000	4195046.000000
106	636607.000000	4194297.000000
107	634756.000000	4193845.000000
108	632874.000000	4194619.000000
109	632291.000000	4195567.000000
110	632025.000000	4196237.000000
111	631110.000000	4196572.000000
112	630419.000000	4197329.000000
113	630325.000000	4198017.000000
114	629271.000000	4198346.000000
115	629412.000000	4199322.000000
116	628897.000000	4200302.000000
117	628793.000000	4201052.000000
118	629619.000000	4201156.000000
119	629222.000000	4202206.000000
120	628746.000000	4203440.000000
121	628627.000000	4204653.000000
122	628722.000000	4205366.000000
123	629111.000000	4206316.000000
124	629815.000000	4207036.000000
125	630664.000000	4207078.000000
126	630891.000000	4207883.000000
127	630163.000000	4207946.000000
128	630218.000000	4209282.000000
129	629140.000000	4211643.000000
130	630347.000000	4204596.000000
131	630569.000000	4205486.000000
132	631197.000000	4206180.000000
133	643106.000000	4200867.000000
134	642273.000000	4202546.000000
135	635470.000000	4205859.000000
136	633951.000000	4205036.000000
137	633924.000000	4203698.000000
138	632396.000000	4203732.000000
139	631051.000000	4203715.000000
140	629701.000000	4203707.000000
394	637818.000000	4199734.000000
141	635919.000000	4201892.000000
142	634493.000000	4202879.000000
143	639121.000000	4183620.000000
395	639244.000000	4180895.000000
396	645183.000000	4181248.000000
144	644192.000000	4181743.000000
145	643589.000000	4181589.000000
146	642876.000000	4181321.000000
147	642221.000000	4181596.000000
148	641982.000000	4182284.000000
149	641042.000000	4181997.000000
150	640672.000000	4182834.000000
151	640013.000000	4182439.000000
152	639648.000000	4183042.000000
153	648107.000000	4180922.000000
154	646621.000000	4182258.000000
155	645510.000000	4183767.000000
156	643508.000000	4185072.000000
397	645293.000000	4183312.000000
157	643627.000000	4184787.000000
158	641520.000000	4185413.000000
159	639567.000000	4185183.000000
398	640309.000000	4187037.000000
160	638248.000000	4186961.000000
161	636438.000000	4186933.000000
162	635679.000000	4186924.000000
163	634354.000000	4186878.000000
164	633233.000000	4186853.000000
165	632148.000000	4186856.000000
166	630896.000000	4186821.000000
167	628825.000000	4186785.000000
168	625448.000000	4186351.000000
399	624547.000000	4184253.000000
169	628400.000000	4188574.000000
170	628745.000000	4189548.000000
171	628951.000000	4190107.000000
172	628335.000000	4190176.000000
173	628368.000000	4190997.000000
174	627689.000000	4190698.000000
175	631779.000000	4193940.000000
176	630454.000000	4193251.000000
177	629609.000000	4192757.000000
178	628786.000000	4192323.000000
179	627288.000000	4191434.000000
180	628969.000000	4197237.000000
181	627510.000000	4197230.000000
182	625065.000000	4197728.000000
183	623961.000000	4197898.000000
184	622510.000000	4197597.000000
185	622321.000000	4198835.000000
186	622170.000000	4199961.000000
187	622316.000000	4201634.000000
188	622676.000000	4202765.000000
189	623494.000000	4203689.000000
190	622577.000000	4204140.000000
191	620999.000000	4204093.000000
400	619405.000000	4204028.000000
192	628760.000000	4207383.000000
193	626954.000000	4208025.000000
401	622960.000000	4188791.000000
194	623869.000000	4189201.000000
195	624492.000000	4190042.000000
196	624919.000000	4191360.000000
197	627693.000000	4200172.000000
198	620840.000000	4206365.000000
199	623044.000000	4209295.000000
200	621412.000000	4207951.000000
201	620415.000000	4207639.000000
202	620694.000000	4210844.000000
203	618217.000000	4211889.000000
204	616423.000000	4210010.000000
205	618998.000000	4208123.000000
206	615468.000000	4208324.000000
207	622331.000000	4213436.000000
208	620159.000000	4212249.000000
209	618368.000000	4212862.000000
210	590574.000000	4213910.000000
211	587575.000000	4220256.000000
212	624359.000000	4211840.000000
213	587966.000000	4215210.000000
214	620125.000000	4219668.000000
215	615504.000000	4219445.000000
