CLIFTON,FRANKST,WHOLE,ALL_CHAN,ALL_RES,CACHESL_COMPLEX,SACR_DWSC,SUT_STMBT_MIN_ELK,CACHESL_LIBIS,DISAPP_SL,FRANKSTRACT,GLC_OLDR,HOLLANDCUT,HONKER_BAY,LOW_SACR,LOWERSJR,MID_SUISUNBAY,MIDDLE_RIVER,NS_FORKS_MOKER,OLD_RIVER,ROCKSL_DISCBAY,SACR_RIOVISTA,SACR_RYDE,SACR_SHIPCHANNEL,SJR_PRISONERSPT,SJR_STOCKTON,SJR_TWITCHELL_ISLAND,SUISUNMARSH,UPPER_SJR,UPPER_SACR,VICTORIA_CANAL,WEST_SUISUNBAY,MILDRED_ISLAND,OTH_DIV,DEL_SEEP,BBID,DEL_DRAIN,BETHELIS,MILDREDIS,LIBERTYIS,DISCOVERYBAY,datetime
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 10:00:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 10:15:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 10:30:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 10:45:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 11:00:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 11:15:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 11:30:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 11:45:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 12:00:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 12:15:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 12:30:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 12:45:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 13:00:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 13:15:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 13:30:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 13:45:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 14:00:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 14:15:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 14:30:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 14:45:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 15:00:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 15:15:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 15:30:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 15:45:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 16:00:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 16:15:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 16:30:00
0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.10000000149011612,0.10000000149011612,0.0,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-24 16:45:00
