VERTCON  Version 2.10
     38.10400630    121.61079996  0.722                         45,0.907        
     38.10240414    121.61655375  0.723                         46,0.062        
     38.10119455    121.62277964  0.723                         46,0.223        
     38.09712715    121.62789433  0.723                         46,0.422        
     38.09229719    121.62875954  0.723                         46,0.578        
     38.08858131    121.63351922  0.723                         46,0.724        
     38.08749036    121.63773652  0.723                         46,0.825        
     38.08787202    121.64246504  0.724                         46,0.941        
     38.09075649    121.64903641  0.725                         47,0.132        
     38.09257123    121.65253667  0.726                         47,0.219        
     38.09442074    121.65608478  0.726                         47,0.308        
     38.09568626    121.66082071  0.727                         47,0.411        
     38.09541821    121.66598806  0.728                          47,0.52        
     38.09396689    121.67147661  0.728                         47,0.651        
     38.09269611    121.67460663  0.728                         47,0.724        
     38.09007511    121.67834564  0.728                          47,0.83        
     38.08066447    121.68069446  0.727                         48,0.125        
     38.07282152    121.67955110  0.726                         48,0.445        
     38.06713494    121.67926786  0.725                         48,0.678        
     38.04568716    121.70010105  0.726                         49,0.148        
     38.04053791    121.70805368  0.727                         49,0.397        
     38.03542360    121.72329490  0.729                         49,0.784        
     38.03187976    121.72909631  0.730                         49,0.947        
     38.02940549    121.73132703  0.730                         50,0.018        
     38.02450470    121.74962215  0.733                         50,0.588        
     38.02465439    121.76037707  0.735                         50,0.909        
     38.02242221    121.76661862  0.736                         51,0.096        
     38.01990941    121.77389851  0.737                         51,0.294        
     38.01826801    121.78579240  0.738                         51,0.599        
     38.01921752    121.79517444  0.740                         51,0.838        
     38.02048659    121.80498916  0.741                         52,0.067        
     38.01996607    121.81054160  0.742                          52,0.25        
     38.02215548    121.81789909  0.744                         52,0.509        
     38.02445572    121.82224005  0.744                         52,0.682        
     38.02646673    121.82500650  0.745                         52,0.803        
     38.02759306    121.82707560  0.745                         52,0.884        
     38.03116233    121.83448656  0.746                        53,0.0080        
     38.03315816    121.83491805  0.746                         53,0.067        
     38.03753691    121.83714497  0.746                         53,0.212        
     38.04062395    121.83972849  0.746                         53,0.332        
     38.04410676    121.84011101  0.745                          53,0.44        
     38.04658299    121.84148640  0.745                         53,0.521        
     38.04946669    121.84281589  0.745                         53,0.615        
     38.05186122    121.84273267  0.745                         53,0.687        
     38.05358729    121.84422570  0.746                         53,0.747        
     38.05551097    121.84528561  0.747                         53,0.811        
     37.80780760    121.33104193  0.709                         54,0.268        
     37.80881550    121.33422394  0.708                         54,0.534        
     37.81173271    121.33558006  0.707                         54,0.841        
     37.81782206    121.33321072  0.706                         55,0.374        
     37.81991846    121.33557334  0.705                         55,0.604        
     37.81943227    121.34092164  0.704                         56,0.157        
     37.82021560    121.34641555  0.703                         56,0.793        
     37.81973980    121.34920957  0.703                         57,0.129        
     37.81691864    121.35636486  0.704                         57,0.722        
     37.81904491    121.36484983  0.703                         58,0.319        
     37.82125885    121.37207166  0.703                         58,0.812        
     37.82196961    121.37539933  0.702                         59,0.064        
     37.82058187    121.37774867  0.703                         59,0.518        
     37.81698987    121.38001382  0.704                         60,0.173        
     37.81413140    121.38228905  0.705                         60,0.433        
     37.81072640    121.38687799  0.706                         60,0.793        
     37.80912385    121.39271989  0.707                         61,0.095        
     37.80829914    121.39730506  0.707                         61,0.359        
     37.80574288    121.40466570  0.708                          61,0.86        
     37.80797598    121.41013134  0.707                         62,0.135        
     37.80948133    121.41186122  0.707                         62,0.364        
     37.81166159    121.41638548  0.706                         62,0.819        
     37.80845703    121.41810321  0.707                         63,0.298        
     37.80621473    121.41906751  0.708                         63,0.606        
     37.80423483    121.41983192  0.709                         63,0.862        
     37.80732624    121.41511292  0.708                         65,0.435        
     37.81007702    121.41713155  0.707                         65,0.802        
     37.80530367    121.41627704  0.708                         66,0.397        
     37.80545413    121.41817023  0.708                         66,0.598        
     37.80169504    121.42145225  0.709                         67,0.631        
     37.79502223    121.42706063  0.711                         68,0.542        
     37.79403164    121.43218289  0.712                         68,0.793        
     37.80241615    121.42781466  0.709                         69,0.367        
     37.79913663    121.43247327  0.710                         69,0.874        
     37.79888690    121.43465831  0.711                         70,0.195        
     37.80208163    121.43951855  0.710                         70,0.738        
     37.80440345    121.44954017  0.709                          71,0.51        
     37.80277063    121.45676779  0.710                         71,0.912        
     37.80180131    121.46456471  0.711                          72,0.46        
     37.79962738    121.46827624  0.712                         72,0.821        
     37.79599343    121.46956654  0.713                         73,0.152        
     37.79228588    121.47333464  0.714                         73,0.591        
     37.79000823    121.47552832  0.715                         73,0.851        
     37.78617887    121.47966434  0.717                         74,0.357        
     37.78341172    121.48246523  0.718                         74,0.728        
     37.78179633    121.48928547  0.719                         75,0.344        
     37.78149662    121.49666369  0.719                         75,0.945        
     37.78549142    121.50307420  0.719                         76,0.557        
     37.78996800    121.50872700  0.719                         77,0.065        
     37.79342611    121.51706774  0.719                         77,0.515        
     37.79832901    121.52292691  0.719                         77,0.865        
     37.80348396    121.53183321  0.719                         78,0.848        
     37.80660542    121.53763909  0.719                         79,0.442        
     37.81053475    121.54393234  0.719                         80,0.069        
     37.81531649    121.55299894  0.720                         80,0.731        
     37.81822833    121.55400588  0.720                         81,0.439        
     37.82880251    121.55207650  0.717                         82,0.953        
     38.05907414    121.68428523  0.725                         83,0.118        
     38.05549975    121.68950953  0.725                         83,0.484        
     38.05078571    121.69379863  0.725                         83,0.871        
     37.83774577    121.55641498  0.715                           84,0.0        
     37.83775443    121.55641812  0.715                           84,1.0        
     37.84633940    121.55991833  0.714                         85,0.079        
     37.85599754    121.56686888  0.714                          86,0.15        
     37.86587991    121.57297713  0.714                         86,0.944        
     37.86600321    121.57306484  0.714                          88,0.05        
     37.86974957    121.57835245  0.714                         88,0.458        
     37.88496013    121.57419859  0.712                         89,0.743        
     37.88837016    121.57519086  0.712                         90,0.051        
     37.89919532    121.56621125  0.709                         91,0.404        
     37.90382359    121.57204991  0.709                        92,0.0070        
     37.91413347    121.56476148  0.707                         94,0.111        
     37.92022195    121.56003140  0.706                         94,0.742        
     37.92854515    121.55879345  0.705                         95,0.734        
     37.93667832    121.56177611  0.705                          96,0.69        
     37.94286589    121.56301730  0.704                         97,0.687        
     37.94476521    121.56829115  0.705                        101,0.196        
     37.95175462    121.56534674  0.704                        101,0.809        
     37.95466048    121.56858008  0.705                        102,0.424        
     37.95629874    121.57454533  0.706                        104,0.119        
     37.95724746    121.56796402  0.704                        104,0.683        
     37.96020829    121.56511894  0.703                        105,0.095        
     37.96106181    121.56696825  0.704                        105,0.318        
     37.96316119    121.57097563  0.704                        105,0.818        
     37.96503740    121.57256135  0.704                         106,0.09        
     37.96700351    121.57363537  0.704                        106,0.302        
     37.97010151    121.57313769  0.704                         106,0.59        
     37.98001233    121.58118041  0.705                        107,0.723        
     37.97391096    121.57717032  0.705                        108,0.054        
     37.97791475    121.57650045  0.704                         108,0.41        
     37.97953578    121.57267963  0.703                        108,0.649        
     37.98067252    121.57773575  0.704                        108,0.869        
     37.98456464    121.58123469  0.704                        111,0.107        
     37.98659667    121.58094948  0.704                        111,0.231        
     37.99099539    121.57807101  0.703                         111,0.54        
     37.99678784    121.57822797  0.703                        111,0.883        
     37.99908390    121.56993558  0.701                        114,0.343        
     37.99817741    121.57106434  0.701                        114,0.441        
     37.99826830    121.57436290  0.702                        114,0.665        
     38.00086569    121.57982001  0.703                        115,0.175        
     38.00373911    121.57020671  0.701                        116,0.283        
     38.00341305    121.57604157  0.702                        116,0.794        
     38.01394755    121.58092706  0.705                        117,0.215        
     38.02701696    121.58157610  0.706                        117,0.822        
     38.01592564    121.56186724  0.701                        118,0.122        
     38.01864855    121.57104118  0.703                        118,0.371        
     38.01127742    121.56857778  0.702                        118,0.725        
     38.01114616    121.57733228  0.704                        118,0.942        
     38.02253096    121.56167301  0.702                        119,0.205        
     38.02814538    121.56367186  0.703                        119,0.376        
     38.03732539    121.57030075  0.706                        119,0.778        
     38.04177869    121.57192737  0.707                        119,0.911        
     38.04262129    121.57832200  0.708                        120,0.167        
     38.03995285    121.58049386  0.708                        120,0.382        
     38.03571203    121.57837033  0.707                        120,0.687        
     38.03223909    121.57898133  0.707                        120,0.939        
     38.03337400    121.58231357  0.707                         121,0.12        
     38.03791504    121.58416821  0.708                        121,0.453        
     38.04444291    121.58324482  0.709                        121,0.906        
     38.04999613    121.58179465  0.709                        122,0.282        
     38.05607641    121.58224981  0.711                        122,0.684        
     38.04446554    121.57841051  0.708                        123,0.133        
     38.04820164    121.58048028  0.709                        123,0.348        
     38.06361462    121.58094532  0.712                        124,0.114        
     38.06811825    121.57936440  0.713                        124,0.369        
     38.07195964    121.57300752  0.713                        124,0.727        
     37.82446686    121.37800731  0.702                        125,0.357        
     37.82856479    121.38375748  0.700                        125,0.888        
     37.83314556    121.38557611  0.699                        126,0.221        
     37.83992929    121.38019463  0.697                        126,0.613        
     37.84613253    121.38054250  0.695                        126,0.907        
     37.85383005    121.37710107  0.691                        127,0.524        
     37.85951057    121.37619729  0.688                        127,0.968        
     37.86913395    121.37865196  0.683                        128,0.463        
     37.87514973    121.37755861  0.679                        128,0.788        
     37.87896877    121.38350201  0.678                        129,0.158        
     37.88411757    121.38778136  0.676                        129,0.555        
     37.88605470    121.39313870  0.676                        129,0.851        
     37.88683303    121.39924876  0.676                        130,0.135        
     37.88687161    121.41171333  0.679                        130,0.792        
     37.88836288    121.41474355  0.679                        130,0.951        
     37.88980678    121.41956706  0.679                        131,0.213        
     37.89056439    121.42556569  0.680                        131,0.555        
     37.89264571    121.43197658  0.681                        131,0.957        
     37.89100531    121.43875190  0.683                        132,0.354        
     37.88974134    121.44162152  0.684                        132,0.592        
     37.88218007    121.46046597  0.690                         133,0.68        
     37.88488938    121.47253470  0.692                        134,0.249        
     37.88549276    121.48200662  0.693                        134,0.618        
     37.89080535    121.48925766  0.694                        135,0.155        
     37.89567640    121.49338106  0.694                        135,0.754        
     37.90253988    121.49737019  0.694                        136,0.787        
     37.90547280    121.50473988  0.695                        137,0.591        
     37.90647793    121.50688086  0.695                        137,0.848        
     37.90826859    121.51313952  0.696                        138,0.312        
     37.91170195    121.51757243  0.697                        138,0.778        
     37.91576324    121.51517385  0.696                        139,0.291        
     37.91975552    121.51688213  0.696                        139,0.911        
     37.92200759    121.52109937  0.697                        140,0.222        
     37.92312894    121.52376978  0.697                        140,0.366        
     37.92420428    121.52606129  0.698                        140,0.513        
     37.93071692    121.52658029  0.697                        140,0.891        
     37.92037025    121.51726102  0.696                        141,0.255        
     37.92036991    121.51726465  0.696                        141,0.577        
     37.92480700    121.53185940  0.699                        142,0.238        
     37.92963006    121.53335357  0.699                        142,0.584        
     37.93130393    121.53068246  0.698                        142,0.815        
     37.93490182    121.52931748  0.697                        143,0.396        
     37.94563617    121.53409998  0.697                        144,0.681        
     37.94689947    121.52693616  0.695                        145,0.319        
     37.94871546    121.53178675  0.696                        146,0.215        
     37.94981036    121.52533432  0.695                        146,0.884        
     37.95416030    121.52600571  0.694                        147,0.551        
     37.95270269    121.53135180  0.696                         148,0.46        
