datetime,CACHE_YOLO,COLUMB_TRNR,DIVERSION_AG,DUT_FAL_FISH,EXPORT_CCF,EXPORT_CVP,EXPORT_IF,EXPORT_SWP,MIDR_MOUTH,OLDR_HEAD,OLDR_MOUTH,PAST_CHIPPS,PAST_MTZ,SAC_TO_3MI,SAC_TO_DCC,SAC_TO_GEO,SAC_TO_STM,SAC_TO_SUT,STMBT_N_TO_S,TO_NBA,TO_SUISUN
25Apr2017  0100,9,0,0,1,0,0,0,0,0,0,2,59,6,3,0,17,22,23,31,0,1
25Apr2017  0200,9,0,0,1,0,0,0,0,0,0,2,55,6,3,0,17,22,23,31,0,1
25Apr2017  0300,9,0,0,2,0,0,0,0,0,0,2,54,6,3,0,17,22,23,31,0,1
25Apr2017  0400,9,0,0,2,0,0,0,0,0,0,2,56,6,3,0,17,22,23,31,0,1
25Apr2017  0500,9,0,0,1,0,0,0,0,0,0,2,60,6,3,0,17,22,23,31,0,1
25Apr2017  0600,9,0,0,1,0,0,0,0,0,0,2,66,7,3,0,17,22,23,31,0,1
25Apr2017  0700,10,0,0,0,0,0,0,0,0,0,2,69,10,3,0,17,22,23,31,0,1
25Apr2017  0800,10,0,0,0,0,0,0,0,0,0,2,71,14,3,0,17,22,23,31,0,1
25Apr2017  0900,10,0,0,0,0,0,0,0,0,0,2,72,16,2,0,17,22,23,31,0,1
25Apr2017  1000,10,0,0,-1,0,0,0,0,0,0,2,73,17,2,0,17,22,23,31,0,1
25Apr2017  1100,10,0,0,-1,0,0,0,0,0,0,2,73,17,2,0,17,22,23,31,0,1
25Apr2017  1200,10,0,0,0,0,0,0,0,0,0,2,73,17,2,0,17,22,23,31,0,1
25Apr2017  1300,10,0,0,0,0,0,0,0,0,0,2,72,17,2,0,17,22,23,31,0,1
25Apr2017  1400,10,0,0,0,0,0,0,0,0,0,2,71,17,2,0,17,22,23,31,0,1
25Apr2017  1500,10,0,0,1,0,0,0,0,0,0,2,70,17,2,0,17,22,23,31,0,1
25Apr2017  1600,10,0,0,1,0,0,0,0,0,0,2,70,17,2,0,17,22,23,31,0,1
25Apr2017  1700,10,0,0,1,0,0,0,0,0,0,2,71,17,2,0,17,22,23,31,0,1
25Apr2017  1800,10,0,0,1,0,0,0,0,0,0,2,72,18,2,0,17,22,23,31,0,1
25Apr2017  1900,10,0,0,0,0,0,0,0,0,0,2,73,21,2,0,17,22,23,31,0,1
25Apr2017  2000,10,0,0,0,0,0,0,0,0,0,2,74,24,2,0,17,22,23,31,0,1
25Apr2017  2100,10,0,0,-1,0,0,0,0,0,0,2,75,25,2,0,17,22,23,31,0,1
25Apr2017  2200,10,0,0,-1,0,0,0,0,0,0,2,76,25,2,0,17,22,23,31,0,1
25Apr2017  2300,10,0,0,0,0,0,0,0,0,0,2,76,25,2,0,17,22,23,31,0,1
26Apr2017  0000,10,0,0,0,0,0,0,0,0,0,2,75,25,2,0,17,22,23,31,0,1
26Apr2017  0100,10,0,0,0,0,0,0,0,0,0,2,73,25,2,0,17,22,23,31,0,1
26Apr2017  0200,10,0,0,1,0,0,0,0,0,0,2,72,25,2,0,17,22,23,31,0,1
26Apr2017  0300,10,0,0,1,0,0,0,0,0,0,2,71,25,2,0,17,22,23,31,0,1
26Apr2017  0400,10,0,0,1,0,0,0,0,0,0,2,71,25,2,0,17,22,23,31,0,1
26Apr2017  0500,10,0,0,1,0,0,0,0,0,0,2,72,25,2,0,17,22,23,31,0,1
26Apr2017  0600,10,0,0,0,0,0,0,0,0,0,2,73,26,2,0,17,22,23,31,0,1
26Apr2017  0700,10,0,0,0,0,0,0,0,0,0,2,75,31,2,0,17,22,23,31,0,1
26Apr2017  0800,10,0,0,0,0,0,0,0,0,0,2,77,36,2,0,17,22,23,31,0,1
26Apr2017  0900,11,0,0,-1,0,0,0,0,0,0,2,78,41,2,0,17,22,23,31,0,1
26Apr2017  1000,11,0,0,-1,0,0,0,0,0,0,2,79,43,2,0,17,22,23,31,0,1
26Apr2017  1100,11,0,0,-1,0,0,0,0,0,0,2,79,44,2,0,17,22,23,31,0,1
26Apr2017  1200,11,0,0,-1,0,0,0,0,0,0,2,79,44,2,0,17,22,23,31,0,1
26Apr2017  1300,11,0,0,-1,0,0,0,0,0,0,2,79,44,2,0,17,22,23,31,0,1
26Apr2017  1400,11,0,0,-1,0,0,0,0,0,0,2,78,44,2,0,17,22,23,31,0,1
26Apr2017  1500,11,0,0,-1,0,0,0,0,0,0,3,77,44,2,0,17,22,23,31,0,1
26Apr2017  1600,11,0,0,-1,0,0,0,0,0,0,3,77,44,2,0,17,22,23,31,0,1
26Apr2017  1700,11,0,0,-1,0,0,0,0,0,0,3,77,44,2,0,17,22,23,31,0,1
26Apr2017  1800,11,0,0,-1,0,0,0,0,0,0,3,78,44,2,0,17,22,23,31,0,1
26Apr2017  1900,11,0,0,-1,0,0,0,0,0,0,3,78,44,2,0,17,22,23,31,0,1
26Apr2017  2000,11,0,0,-1,0,0,0,0,0,0,3,79,46,2,0,17,22,23,31,0,1
26Apr2017  2100,11,0,0,-1,0,0,0,0,0,0,3,81,49,2,0,17,22,23,31,0,1
26Apr2017  2200,11,0,0,-1,0,0,0,0,0,0,3,81,50,2,0,17,22,23,31,0,1
26Apr2017  2300,11,0,0,-1,0,0,0,0,0,0,3,82,50,2,0,17,22,23,31,0,1
27Apr2017  0000,11,0,0,-1,0,0,0,0,0,0,3,81,50,2,0,17,22,23,31,0,1
27Apr2017  0100,11,0,0,-1,0,0,0,0,0,0,3,80,50,2,0,17,22,23,31,0,1
27Apr2017  0200,11,0,0,-1,0,0,0,0,0,0,3,79,50,2,0,17,22,23,31,0,1
27Apr2017  0300,11,0,0,-1,0,0,0,0,0,0,3,78,50,2,0,17,22,23,31,0,1
27Apr2017  0400,11,0,0,0,0,0,0,0,0,0,3,77,50,2,0,17,22,23,31,0,1
